"UniProtID","functional_class"
"Q9ZW22","Enzyme"
"Q5AEK8","Enzyme"
"Q3EBF7","Enzyme"
"Q5AD05","Enzyme"
"P9WGE9","Enzyme"
"Q1EC69","Enzyme"
"O67931","Enzyme"
"Q5ACV9","Enzyme"
"Q54RN1","Enzyme"
"P21276","Enzyme"
"Q3SZ89","Enzyme"
"Q3ZCD7","Enzyme"
"Q9XTQ6","Enzyme"
"Q86B61","Enzyme"
"P92994","Enzyme"
"Q6JTJ0","Enzyme"
"F4JZN6","Enzyme"
"Q9M2U2","Enzyme"
"Q8L9C4","Enzyme"
"O15229","Enzyme"
"P38169","Enzyme"
"Q86PM2","Enzyme"
"Q6GV12","Enzyme"
"A1Z746","Enzyme"
"Q42564","Enzyme"
"Q02337","Enzyme"
"A8WGT1","Enzyme"
"Q4G0S4","Enzyme"
"Q9STL2","Enzyme"
"O65786","Enzyme"
"O65787","Enzyme"
"Q9LXM3","Enzyme"
"O48786","Enzyme"
"Q9LUC5","Enzyme"
"Q9ZUX1","Enzyme"
"Q9CA61","Enzyme"
"Q20027","Enzyme"
"Q9Y8G7","Enzyme"
"Q9V769","Enzyme"
"Q0DBF4","Enzyme"
"Q7EZR4","Enzyme"
"B1NF19","Enzyme"
"O81970","Enzyme"
"O64718","Enzyme"
"P58050","Enzyme"
"Q9LTM3","Enzyme"
"Q9XHE7","Enzyme"
"Q6F4F5","Enzyme"
"Q6Z6D6","Enzyme"
"D1MI46","Enzyme"
"O64638","Enzyme"
"Q9SLP1","Enzyme"
"Q9M7B8","Enzyme"
"Q6J540","Enzyme"
"P48421","Enzyme"
"Q8GSQ1","Enzyme"
"B9GBJ9","Enzyme"
"Q5KQH7","Enzyme"
"O49340","Enzyme"
"Q6QNI4","Enzyme"
"Q9LJY5","Enzyme"
"Q93Z79","Enzyme"
"Q2QYH7","Enzyme"
"Q5CCK1","Enzyme"
"Q5CCK3","Enzyme"
"Q42798","Enzyme"
"Q9XHC6","Enzyme"
"Q5VRI5","Enzyme"
"Q9MBA1","Enzyme"
"P58710","Enzyme"
"Q9SU56","Enzyme"
"P0A9C0","Enzyme"
"Q9SJU9","Enzyme"
"P13033","Enzyme"
"Q5ZM72","Enzyme"
"Q59J82","Enzyme"
"Q9SZ42","Enzyme"
"Q5A446","Enzyme"
"Q12333","Enzyme"
"Q04800","Enzyme"
"Q6ZNA5","Enzyme"
"Q61153","Enzyme"
"Q9FV68","Enzyme"
"G5EGN2","Enzyme"
"Q8K2I3","Enzyme"
"Q8PU58","Enzyme"
"P9WP13","Enzyme"
"Q95LA2","Enzyme"
"Q8K4C0","Enzyme"
"Q9LW56","Enzyme"
"Q94BP3","Enzyme"
"Q9LSQ5","Enzyme"
"P53746","Enzyme"
"F4I4K7","Enzyme"
"P55931","Enzyme"
"Q7L5A8","Enzyme"
"Q7TNT2","Enzyme"
"O23051","Enzyme"
"Q5VRM7","Enzyme"
"Q9IAX2","Enzyme"
"P55073","Enzyme"
"Q6U6H1","Enzyme"
"P11295","Enzyme"
"Q6TA49","Enzyme"
"Q9FYL6","Enzyme"
"P34135","Enzyme"
"Q10283","Enzyme"
"P14901","Enzyme"
"P36014","Enzyme"
"P38143","Enzyme"
"G3XD12","Enzyme"
"P42804","Enzyme"
"Q9BQS7","Enzyme"
"P32191","Enzyme"
"Q64521","Enzyme"
"Q9SXE1","Enzyme"
"Q7TVI2","Enzyme"
"Q9NEQ0","Enzyme"
"Q23221","Enzyme"
"G5EG11","Enzyme"
"M1VMF7","Enzyme"
"Q08905","Enzyme"
"Q08908","Enzyme"
"Q8VY13","Enzyme"
"Q3TQB2","Enzyme"
"Q9FLW2","Enzyme"
"Q3KTM0","Enzyme"
"P25857","Enzyme"
"Q8K4B7","Enzyme"
"Q8W493","Enzyme"
"P46312","Enzyme"
"B4YQU1","Enzyme"
"Q41131","Enzyme"
"Q4PIF8","Enzyme"
"Q9FPP8","Enzyme"
"Q960W6","Enzyme"
"Q56VS4","Enzyme"
"G5EGA5","Enzyme"
"P21890","Enzyme"
"O60774","Enzyme"
"P04406","Enzyme"
"Q67ZE1","Enzyme"
"P14891","Enzyme"
"P12683","Enzyme"
"Q3V1H3","Enzyme"
"P49429","Enzyme"
"P16393","Enzyme"
"Q04458","Enzyme"
"A7Z064","Enzyme"
"P14773","Enzyme"
"F4IK45","Enzyme"
"Q9FH66","Enzyme"
"O64636","Enzyme"
"Q9LZ31","Enzyme"
"Q9LMX7","Enzyme"
"Q7Y1V5","Enzyme"
"Q9SZU1","Enzyme"
"Q9SZ46","Enzyme"
"Q9LMM1","Enzyme"
"Q9LHA1","Enzyme"
"Q94IW5","Enzyme"
"Q7X7X4","Enzyme"
"P17444","Enzyme"
"P30099","Enzyme"
"B1NF18","Enzyme"
"Q7XU38","Enzyme"
"Q9M066","Enzyme"
"Q9SXS3","Enzyme"
"Q0JFI2","Enzyme"
"Q9FMV7","Enzyme"
"Q9FVS9","Enzyme"
"O48922","Enzyme"
"Q9FG65","Enzyme"
"Q42602","Enzyme"
"O64989","Enzyme"
"Q7XHW5","Enzyme"
"Q96514","Enzyme"
"H1A981","Enzyme"
"Q8LM92","Enzyme"
"Q6Z5I7","Enzyme"
"I7C6E8","Enzyme"
"O81972","Enzyme"
"Q9FMA5","Enzyme"
"Q94IA6","Enzyme"
"Q39249","Enzyme"
"P75804","Enzyme"
"Q9VQH2","Enzyme"
"P32476","Enzyme"
"O74401","Enzyme"
"O22854","Enzyme"
"Q9V3A6","Enzyme"
"Q7X9I4","Enzyme"
"Q9Z122","Enzyme"
"Q16206","Enzyme"
"O81000","Enzyme"
"Q12452","Enzyme"
"P25340","Enzyme"
"Q9Y7P1","Enzyme"
"Q12284","Enzyme"
"Q7T3D1","Enzyme"
"Q71KT5","Enzyme"
"P53199","Enzyme"
"G4SW86","Enzyme"
"B1H1F9","Enzyme"
"Q86YB8","Enzyme"
"Q03103","Enzyme"
"O65402","Enzyme"
"Q14534","Enzyme"
"Q9LDR4","Enzyme"
"Q09195","Enzyme"
"P32462","Enzyme"
"Q9Y8H5","Enzyme"
"O96099","Enzyme"
"Q920R3","Enzyme"
"P32353","Enzyme"
"A1ZAI3","Enzyme"
"B5WWZ8","Enzyme"
"Q28056","Enzyme"
"Q42593","Enzyme"
"Q3ZBY7","Enzyme"
"O59715","Enzyme"
"Q8VCH6","Enzyme"
"Q7SXF1","Enzyme"
"P50172","Enzyme"
"Q9BPW9","Enzyme"
"Q68CI2","Enzyme"
"O75911","Enzyme"
"P27867","Enzyme"
"P32891","Enzyme"
"O29853","Enzyme"
"Q99J47","Enzyme"
"O61213","Enzyme"
"Q86XF0","Enzyme"
"Q21929","Enzyme"
"Q7Z4W1","Enzyme"
"P0A6J5","Enzyme"
"Q5AJX2","Enzyme"
"P9WNZ3","Enzyme"
"O43174","Enzyme"
"Q811W2","Enzyme"
"P17178","Enzyme"
"O15528","Enzyme"
"Q16696","Enzyme"
"A0A087X1C5","Enzyme"
"F1Q8C3","Enzyme"
"Q6VVX0","Enzyme"
"E9Q816","Enzyme"
"Q9VWR5","Enzyme"
"P05183","Enzyme"
"O42563","Enzyme"
"Q9V3S0","Enzyme"
"Q27594","Enzyme"
"Q8S3C0","Enzyme"
"A9SIZ6","Enzyme"
"H2KYS3","Enzyme"
"P9WP15","Enzyme"
"A5D9A7","Enzyme"
"Q6WNG7","Enzyme"
"A4KDP1","Enzyme"
"P38909","Enzyme"
"P9WNE9","Enzyme"
"Q2HWK7","Enzyme"
"Q5K2N1","Enzyme"
"P40526","Enzyme"
"O70503","Enzyme"
"Q38944","Enzyme"
"Q9ZPH4","Enzyme"
"P37059","Enzyme"
"P15877","Enzyme"
"P06149","Enzyme"
"Q9MZF4","Enzyme"
"Q4G2T3","Enzyme"
"A1RVM8","Enzyme"
"O16881","Enzyme"
"Q9FJ95","Enzyme"
"P0A9P0","Enzyme"
"Q39085","Enzyme"
"Q9V9U4","Enzyme"
"P56937","Enzyme"
"P00393","Enzyme"
"A0PJ29","Enzyme"
"A4KDP0","Enzyme"
"Q9Z0F5","Enzyme"
"Q5PRC0","Enzyme"
"Q4PNI0","Enzyme"
"Q567X1","Enzyme"
"Q9C788","Enzyme"
"O64698","Enzyme"
"Q6YV88","Enzyme"
"Q9SHG5","Enzyme"
"Q8LIF2","Enzyme"
"Q9FF18","Enzyme"
"Q501D8","Enzyme"
"Q949U1","Enzyme"
"O49858","Enzyme"
"Q9LSF8","Enzyme"
"Q42600","Enzyme"
"Q9SRQ1","Enzyme"
"P52923","Enzyme"
"P97467","Enzyme"
"Q5BEJ7","Enzyme"
"O95831","Enzyme"
"Q60HH8","Enzyme"
"J3QMK6","Enzyme"
"Q39219","Enzyme"
"Q56X52","Enzyme"
"Q26710","Enzyme"
"P26458","Enzyme"
"Q6WZB0","Enzyme"
"P48376","Enzyme"
"P97478","Enzyme"
"P14137","Enzyme"
"P70687","Enzyme"
"P30437","Enzyme"
"Q16678","Enzyme"
"O35293","Enzyme"
"P10610","Enzyme"
"P53318","Enzyme"
"P41735","Enzyme"
"Q92109","Enzyme"
"P19225","Enzyme"
"P79383","Enzyme"
"P20678","Enzyme"
"P51589","Enzyme"
"Q9JKJ9","Enzyme"
"Q92112","Enzyme"
"P00191","Enzyme"
"Q6V0L0","Enzyme"
"Q7Z449","Enzyme"
"Q9NGX9","Enzyme"
"Q9VUF8","Enzyme"
"Q9Y6A2","Enzyme"
"Q9UNU6","Enzyme"
"Q9V4I0","Enzyme"
"Q6UPE0","Enzyme"
"Q8K0C4","Enzyme"
"Q60991","Enzyme"
"A3KPR5","Enzyme"
"Q925G2","Enzyme"
"Q6NT55","Enzyme"
"Q9SAA9","Enzyme"
"P50859","Enzyme"
"P33270","Enzyme"
"Q9I5R6","Enzyme"
"P56590","Enzyme"
"Q9VRM7","Enzyme"
"Q9VGH1","Enzyme"
"Q27593","Enzyme"
"Q9M591","Enzyme"
"P31896","Enzyme"
"Q96SQ9","Enzyme"
"Q02928","Enzyme"
"Q64462","Enzyme"
"Q6ZWL3","Enzyme"
"Q9V674","Enzyme"
"P22680","Enzyme"
"Q95078","Enzyme"
"P9WPL7","Enzyme"
"Q01741","Enzyme"
"P79760","Enzyme"
"P12791","Enzyme"
"P08683","Enzyme"
"Q09736","Enzyme"
"Q9W130","Enzyme"
"P21685","Enzyme"
"I2CYZ4","Enzyme"
"Q8S3C1","Enzyme"
"Q503V1","Enzyme"
"P14060","Enzyme"
"Q9EQC1","Enzyme"
"Q06401","Enzyme"
"Q04616","Enzyme"
"Q6US81","Enzyme"
"P50544","Enzyme"
"Q05JG2","Enzyme"
"P56522","Enzyme"
"O35048","Enzyme"
"P21147","Enzyme"
"O81077","Enzyme"
"Q8L856","Enzyme"
"Q9UJ68","Enzyme"
"P58022","Enzyme"
"Q9CW42","Enzyme"
"P0ACE0","Enzyme"
"P38626","Enzyme"
"P31174","Enzyme"
"Q8GXR9","Enzyme"
"P9WJQ3","Enzyme"
"Q9ZNT1","Enzyme"
"Q0P487","Enzyme"
"P70682","Enzyme"
"P03891","Enzyme"
"P03893","Enzyme"
"P92533","Enzyme"
"Q9B6C7","Enzyme"
"P03921","Enzyme"
"P9WJH3","Enzyme"
"Q59327","Enzyme"
"Q9FYC2","Enzyme"
"Q8HYB7","Enzyme"
"Q12746","Enzyme"
"Q9R0B9","Enzyme"
"Q9CAH5","Enzyme"
"Q60HD5","Enzyme"
"Q9R0E1","Enzyme"
"Q9ALA2","Enzyme"
"P24802","Enzyme"
"Q607G3","Enzyme"
"C7T2J9","Enzyme"
"Q8AVI9","Enzyme"
"P07003","Enzyme"
"Q20679","Enzyme"
"Q6PBX5","Enzyme"
"P33232","Enzyme"
"Q5ZE07","Enzyme"
"Q8K4F2","Enzyme"
"Q7TT41","Enzyme"
"L7X3S1","Enzyme"
"Q5ZLL6","Enzyme"
"P53045","Enzyme"
"Q08CS6","Enzyme"
"Q82IY3","Enzyme"
"O48741","Enzyme"
"Q5RIU9","Enzyme"
"P83755","Enzyme"
"P09144","Enzyme"
"Q94IG7","Enzyme"
"P40012","Enzyme"
"P03897","Enzyme"
"Q9Y7C8","Enzyme"
"Q8L540","Enzyme"
"P0ACD8","Enzyme"
"P69739","Enzyme"
"Q9LK94","Enzyme"
"P39654","Enzyme"
"P36060","Enzyme"
"Q947B7","Enzyme"
"P19125","Enzyme"
"Q9SUM3","Enzyme"
"Q55CT1","Enzyme"
"P36587","Enzyme"
"P16603","Enzyme"
"P49821","Enzyme"
"Q54F44","Enzyme"
"Q61941","Enzyme"
"Q04614","Enzyme"
"P03905","Enzyme"
"Q9B6D4","Enzyme"
"Q86GL4","Enzyme"
"A5F5X0","Enzyme"
"Q9LK88","Enzyme"
"P29475","Enzyme"
"Q9XYS3","Enzyme"
"A5F5Y7","Enzyme"
"A5F5Y6","Enzyme"
"Q5R4M8","Enzyme"
"Q8BG58","Enzyme"
"Q9ZW86","Enzyme"
"F4JAU3","Enzyme"
"P9WIW7","Enzyme"
"P19045","Enzyme"
"P38286","Enzyme"
"P69741","Enzyme"
"Q8BUE4","Enzyme"
"Q04507","Enzyme"
"Q9SID2","Enzyme"
"Q9LMI4","Enzyme"
"Q9V3T9","Enzyme"
"Q0VTH3","Enzyme"
"Q6NYE4","Enzyme"
"Q8BS35","Enzyme"
"P54783","Enzyme"
"Q0VKZ3","Enzyme"
"Q9I0R2","Enzyme"
"O31250","Enzyme"
"P26459","Enzyme"
"O70423","Enzyme"
"P21397","Enzyme"
"Q04516","Enzyme"
"Q6ZDE3","Enzyme"
"P38342","Enzyme"
"Q8CVD0","Enzyme"
"Q6B4J2","Enzyme"
"Q6TEK3","Enzyme"
"Q8MS59","Enzyme"
"P07147","Enzyme"
"Q9LYR2","Enzyme"
"Q9CR68","Enzyme"
"P11344","Enzyme"
"Q9Z4S6","Enzyme"
"Q5UPL2","Enzyme"
"Q0JCU7","Enzyme"
"O14252","Enzyme"
"P53878","Enzyme"
"G3XD94","Enzyme"
"P32746","Enzyme"
"O35435","Enzyme"
"Q9SBI0","Enzyme"
"Q6IUU3","Enzyme"
"Q874I4","Enzyme"
"O81270","Enzyme"
"Q08210","Enzyme"
"Q8JGM4","Enzyme"
"Q6ZRP7","Enzyme"
"P0A7E1","Enzyme"
"Q51548","Enzyme"
"P32748","Enzyme"
"P32747","Enzyme"
"P07275","Enzyme"
"Q9LSZ9","Enzyme"
"Q06147","Enzyme"
"Q9UUQ6","Enzyme"
"Q7Z859","Enzyme"
"P60955","Enzyme"
"Q9JI60","Enzyme"
"Q5S007","Enzyme"
"P9WIP3","Enzyme"
"A2AA28","Enzyme"
"P53779","Enzyme"
"Q96PD6","Enzyme"
"Q3SYC2","Enzyme"
"Q8WY64","Enzyme"
"Q3MHC1","Enzyme"
"Q9UHF3","Enzyme"
"Q8N9F0","Enzyme"
"P0ACV0","Enzyme"
"P24205","Enzyme"
"P76445","Enzyme"
"Q1LVZ2","Enzyme"
"Q9P2E8","Enzyme"
"O60337","Enzyme"
"Q9ZV87","Enzyme"
"P70352","Enzyme"
"O57535","Enzyme"
"P20471","Enzyme"
"P46935","Enzyme"
"O76050","Enzyme"
"O00746","Enzyme"
"P52849","Enzyme"
"Q9FFK8","Enzyme"
"P10676","Enzyme"
"O61613","Enzyme"
"Q9V3L1","Enzyme"
"Q8L4H4","Enzyme"
"P35546","Enzyme"
"Q8GUU2","Enzyme"
"H2QII6","Enzyme"
"P0DMC5","Enzyme"
"Q6ZQM0","Enzyme"
"Q93Z92","Enzyme"
"Q63651","Enzyme"
"Q1MJ96","Enzyme"
"Q03778","Enzyme"
"Q9Y572","Enzyme"
"Q9M2S6","Enzyme"
"Q6PF47","Enzyme"
"Q54EX5","Enzyme"
"Q8BG54","Enzyme"
"P34548","Enzyme"
"Q6ZH45","Enzyme"
"Q04629","Enzyme"
"O80662","Enzyme"
"Q00917","Enzyme"
"H6TFZ4","Enzyme"
"Q8INF2","Enzyme"
"P53230","Enzyme"
"Q2G1C1","Enzyme"
"Q5XIM7","Enzyme"
"Q8VYC8","Enzyme"
"Q9LN71","Enzyme"
"Q925F3","Enzyme"
"Q99N57","Enzyme"
"P35196","Enzyme"
"Q0V8G3","Enzyme"
"A5PK27","Enzyme"
"Q6GND7","Enzyme"
"Q9ERU9","Enzyme"
"Q54XQ2","Enzyme"
"P39838","Enzyme"
"Q9SIZ8","Enzyme"
"Q9SS90","Enzyme"
"Q9FXA7","Enzyme"
"Q13546","Enzyme"
"Q1MJ97","Enzyme"
"Q9DA37","Enzyme"
"P20048","Enzyme"
"Q8L6H7","Enzyme"
"Q9S972","Enzyme"
"Q5U3W1","Enzyme"
"Q9Y2H1","Enzyme"
"O94804","Enzyme"
"O88697","Enzyme"
"Q84V18","Enzyme"
"Q93Y07","Enzyme"
"Q5RE85","Enzyme"
"P61131","Enzyme"
"Q92184","Enzyme"
"Q8NDV1","Enzyme"
"Q9R2B6","Enzyme"
"Q9JM95","Enzyme"
"Q6ZXA0","Enzyme"
"Q92186","Enzyme"
"O43173","Enzyme"
"Q64692","Enzyme"
"P61647","Enzyme"
"Q96JF0","Enzyme"
"Q11203","Enzyme"
"Q5A872","Enzyme"
"P39928","Enzyme"
"Q02745","Enzyme"
"Q11204","Enzyme"
"Q9NSC7","Enzyme"
"Q9UJ37","Enzyme"
"P70126","Enzyme"
"Q701R2","Enzyme"
"Q5QQ37","Enzyme"
"Q70D51","Enzyme"
"D0ZPH9","Enzyme"
"Q8S4F6","Enzyme"
"O94768","Enzyme"
"Q8BGW6","Enzyme"
"Q6F2Z1","Enzyme"
"Q9FX21","Enzyme"
"Q8TCJ2","Enzyme"
"Q7SY52","Enzyme"
"Q94DD4","Enzyme"
"Q2R2B1","Enzyme"
"P33300","Enzyme"
"Q20735","Enzyme"
"Q8NHU3","Enzyme"
"O82427","Enzyme"
"Q9CUN6","Enzyme"
"Q9Y6E0","Enzyme"
"P32584","Enzyme"
"Q6J9G1","Enzyme"
"O01798","Enzyme"
"D4AE59","Enzyme"
"Q2QXM3","Enzyme"
"Q7FA29","Enzyme"
"Q9S713","Enzyme"
"Q13470","Enzyme"
"Q43848","Enzyme"
"P9WJ63","Enzyme"
"Q6PFX9","Enzyme"
"Q9CYB0","Enzyme"
"O60704","Enzyme"
"Q3EDG5","Enzyme"
"Q08CD5","Enzyme"
"P32600","Enzyme"
"P36406","Enzyme"
"O77081","Enzyme"
"Q9VYB7","Enzyme"
"Q9P4U6","Enzyme"
"Q8VDX6","Enzyme"
"A0AVI4","Enzyme"
"A0A193KX02","Enzyme"
"B6CZ46","Enzyme"
"Q9LN62","Enzyme"
"Q62868","Enzyme"
"Q6R567","Enzyme"
"A7MB74","Enzyme"
"Q54RB7","Enzyme"
"Q64685","Enzyme"
"A8WZ92","Enzyme"
"Q8L7L1","Enzyme"
"P97353","Enzyme"
"Q5F349","Enzyme"
"Q9QYJ1","Enzyme"
"Q04174","Enzyme"
"Q9U3D4","Enzyme"
"Q86VZ5","Enzyme"
"P35610","Enzyme"
"O88908","Enzyme"
"Q92183","Enzyme"
"Q92182","Enzyme"
"A9JRZ0","Enzyme"
"Q8GYT9","Enzyme"
"Q9VS60","Enzyme"
"Q18425","Enzyme"
"Q9NYA1","Enzyme"
"O15270","Enzyme"
"P06782","Enzyme"
"G5EE56","Enzyme"
"Q9BXR0","Enzyme"
"Q9HZX3","Enzyme"
"Q803I8","Enzyme"
"Q9H2K8","Enzyme"
"O74339","Enzyme"
"Q96BW9","Enzyme"
"Q6ZQ29","Enzyme"
"Q06510","Enzyme"
"P42680","Enzyme"
"P23606","Enzyme"
"Q9LK35","Enzyme"
"P13485","Enzyme"
"Q0KHQ5","Enzyme"
"Q94A02","Enzyme"
"Q9NRA0","Enzyme"
"O15269","Enzyme"
"Q9N491","Enzyme"
"Q09363","Enzyme"
"Q54TC9","Enzyme"
"Q2NKH9","Enzyme"
"O53585","Enzyme"
"Q8NCW6","Enzyme"
"Q8IA44","Enzyme"
"Q9JJ61","Enzyme"
"Q8MVS5","Enzyme"
"P34897","Enzyme"
"Q5RGJ8","Enzyme"
"Q3T906","Enzyme"
"P68181","Enzyme"
"P39962","Enzyme"
"Q64595","Enzyme"
"P13186","Enzyme"
"P23292","Enzyme"
"Q9DC28","Enzyme"
"Q91VB2","Enzyme"
"Q6P8J7","Enzyme"
"Q9MAM3","Enzyme"
"Q9C6L5","Enzyme"
"P0ABN1","Enzyme"
"P63319","Enzyme"
"Q6TJY3","Enzyme"
"Q24592","Enzyme"
"Q05655","Enzyme"
"Q05652","Enzyme"
"P54070","Enzyme"
"O59735","Enzyme"
"Q9C920","Enzyme"
"Q9WTQ1","Enzyme"
"Q02156","Enzyme"
"Q9WTQ0","Enzyme"
"P28496","Enzyme"
"O94806","Enzyme"
"Q8VY08","Enzyme"
"Q8X0Z1","Enzyme"
"P37295","Enzyme"
"Q9P854","Enzyme"
"Q0V7M1","Enzyme"
"P27809","Enzyme"
"Q96S38","Enzyme"
"Q3UVC0","Enzyme"
"F1N9Y5","Enzyme"
"P43405","Enzyme"
"Q4VCM1","Enzyme"
"P40970","Enzyme"
"Q12246","Enzyme"
"Q8NES3","Enzyme"
"P0AC75","Enzyme"
"P34885","Enzyme"
"P27810","Enzyme"
"P78970","Enzyme"
"P25045","Enzyme"
"O53223","Enzyme"
"Q6UWP7","Enzyme"
"Q54HC6","Enzyme"
"Q6MG11","Enzyme"
"Q52EB3","Enzyme"
"Q9Y7T4","Enzyme"
"Q06321","Enzyme"
"P0C034","Enzyme"
"Q940Q4","Enzyme"
"Q8LF65","Enzyme"
"Q8L9T5","Enzyme"
"Q8W571","Enzyme"
"O64762","Enzyme"
"Q5XF85","Enzyme"
"Q7X843","Enzyme"
"Q9LF64","Enzyme"
"P15336","Enzyme"
"Q6PH17","Enzyme"
"Q5FWM1","Enzyme"
"A2ADU9","Enzyme"
"Q6E213","Enzyme"
"Q9VLA1","Enzyme"
"O75752","Enzyme"
"Q5JCS9","Enzyme"
"Q7Z7M8","Enzyme"
"O54904","Enzyme"
"O54905","Enzyme"
"O96024","Enzyme"
"Q9Y2C3","Enzyme"
"Q96L58","Enzyme"
"O13967","Enzyme"
"Q3MB01","Enzyme"
"Q2QM69","Enzyme"
"Q9M324","Enzyme"
"Q06187","Enzyme"
"P74165","Enzyme"
"Q04982","Enzyme"
"P15056","Enzyme"
"Q95US5","Enzyme"
"F4I7Y4","Enzyme"
"Q6GNL1","Enzyme"
"Q7TN73","Enzyme"
"Q18515","Enzyme"
"Q7K237","Enzyme"
"P80235","Enzyme"
"Q9LE59","Enzyme"
"H2L099","Enzyme"
"Q09324","Enzyme"
"Q2HJ74","Enzyme"
"Q8VI38","Enzyme"
"Q8BUV3","Enzyme"
"Q28I33","Enzyme"
"Q09174","Enzyme"
"Q9LUM0","Enzyme"
"P40989","Enzyme"
"Q9VLC1","Enzyme"
"G5ED45","Enzyme"
"O88351","Enzyme"
"Q93WC9","Enzyme"
"O74757","Enzyme"
"O17645","Enzyme"
"B1WB39","Enzyme"
"Q8BSL4","Enzyme"
"Q06277","Enzyme"
"Q558K8","Enzyme"
"Q99J82","Enzyme"
"Q5N7A7","Enzyme"
"Q5Z880","Enzyme"
"O60725","Enzyme"
"Q10323","Enzyme"
"Q9NLA1","Enzyme"
"P53848","Enzyme"
"Q67ZM7","Enzyme"
"Q9M0G0","Enzyme"
"Q8I136","Enzyme"
"Q95ZJ1","Enzyme"
"Q7Z7M9","Enzyme"
"Q8MV48","Enzyme"
"O95395","Enzyme"
"Q9P109","Enzyme"
"Q64516","Enzyme"
"P09760","Enzyme"
"Q9BVA6","Enzyme"
"Q22146","Enzyme"
"G5EFE7","Enzyme"
"Q6WV19","Enzyme"
"Q10471","Enzyme"
"Q6WV16","Enzyme"
"Q80VA0","Enzyme"
"Q8MRC9","Enzyme"
"Q9Y7Y7","Enzyme"
"Q8SWV6","Enzyme"
"Q8N0V5","Enzyme"
"Q6Y290","Enzyme"
"P30777","Enzyme"
"F4J4C8","Enzyme"
"Q0WUR5","Enzyme"
"P9WMX3","Enzyme"
"P52101","Enzyme"
"Q9SHJ5","Enzyme"
"P86935","Enzyme"
"O22807","Enzyme"
"P22146","Enzyme"
"Q06135","Enzyme"
"Q08193","Enzyme"
"P19440","Enzyme"
"Q2YDM8","Enzyme"
"Q5U3H3","Enzyme"
"Q07537","Enzyme"
"Q9Y117","Enzyme"
"P70419","Enzyme"
"Q8IA42","Enzyme"
"Q9VUT6","Enzyme"
"Q9US04","Enzyme"
"O14194","Enzyme"
"P36269","Enzyme"
"Q96J02","Enzyme"
"Q9C5S2","Enzyme"
"P23458","Enzyme"
"O60674","Enzyme"
"Q9FG87","Enzyme"
"P21865","Enzyme"
"P13185","Enzyme"
"Q47317","Enzyme"
"P52333","Enzyme"
"O13853","Enzyme"
"Q38860","Enzyme"
"F4IS56","Enzyme"
"Q9LY23","Enzyme"
"P38954","Enzyme"
"Q09499","Enzyme"
"P32361","Enzyme"
"Q9FMW9","Enzyme"
"Q5VTY9","Enzyme"
"P42867","Enzyme"
"O81007","Enzyme"
"Q8GWW4","Enzyme"
"Q8GCH2","Enzyme"
"O60243","Enzyme"
"Q80UW0","Enzyme"
"P08631","Enzyme"
"Q3UDW8","Enzyme"
"Q9VZU2","Enzyme"
"Q8IZP7","Enzyme"
"Q8VEB1","Enzyme"
"Q8WTQ7","Enzyme"
"Q91757","Enzyme"
"Q4G148","Enzyme"
"Q810K9","Enzyme"
"Q9LQ32","Enzyme"
"P18106","Enzyme"
"P16879","Enzyme"
"Q04952","Enzyme"
"Q6P9S7","Enzyme"
"Q8IXK2","Enzyme"
"Q8N3T1","Enzyme"
"Q96EK6","Enzyme"
"O15228","Enzyme"
"Q12096","Enzyme"
"Q8MYY6","Enzyme"
